,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,1,1,4.1,775,1,11,305,800.0,214
1,1,0,4.1,787,1,11,137,800.0,214
2,1,0,3.8,918,1,9,116,800.0,214
3,0,0,3.7,88,1,31,363,300.0,214
4,0,0,3.8,166,3,11,308,600.0,214
5,1,0,3.8,286,3,11,247,600.0,214
6,1,1,4.6,2556,1,13,326,600.0,214
7,1,0,4.0,324,1,7,112,700.0,214
8,1,0,4.2,504,1,7,117,550.0,214
9,1,0,4.1,402,1,7,73,500.0,214
10,1,1,4.2,150,1,7,112,600.0,214
11,1,1,4.2,164,1,7,86,500.0,214
12,0,0,4.0,424,1,7,87,450.0,214
13,1,0,3.8,918,1,9,116,800.0,214
14,1,0,3.8,90,1,7,73,650.0,214
15,1,0,3.9,133,1,7,103,800.0,214
16,1,0,3.8,144,1,7,123,700.0,214
17,0,0,3.9,93,1,7,109,300.0,214
18,1,0,3.0,62,1,7,105,400.0,214
19,1,0,3.7,180,1,7,118,500.0,214
20,1,0,3.6,62,1,32,213,600.0,214
21,0,0,3.8,148,3,13,256,550.0,214
22,1,0,4.0,219,3,7,108,600.0,214
23,1,0,2.8,506,1,31,296,500.0,214
24,1,0,3.9,172,1,16,325,750.0,214
25,1,0,4.2,415,1,31,255,500.0,66
26,1,0,3.9,230,1,16,40,650.0,214
27,1,0,4.2,1647,1,11,143,600.0,214
28,1,0,4.4,4884,6,11,307,750.0,214
29,1,0,3.8,133,3,31,376,200.0,214
30,1,0,3.9,286,1,31,67,500.0,214
31,1,0,3.9,540,1,31,328,800.0,214
32,1,1,4.6,2556,1,13,326,600.0,214
33,0,0,3.8,36,1,16,291,400.0,214
34,1,0,3.6,244,8,31,258,300.0,9
35,1,0,4.0,804,8,11,266,450.0,200
36,1,0,3.7,679,10,11,141,850.0,214
37,1,0,3.1,245,8,31,276,300.0,197
38,0,0,4.3,345,1,17,203,400.0,214
39,1,0,4.0,618,6,11,55,750.0,214
40,0,0,4.0,1047,1,31,212,450.0,214
41,1,0,3.9,627,1,16,197,450.0,0
42,1,1,4.2,354,1,11,20,800.0,214
43,0,0,4.2,244,1,11,216,800.0,214
44,1,1,3.6,163,8,11,194,800.0,214
45,0,1,4.0,808,1,11,258,850.0,214
46,1,0,4.1,1720,3,31,300,400.0,214
47,0,0,4.1,868,1,28,157,1200.0,214
48,0,0,4.1,520,1,31,45,300.0,214
49,0,0,3.6,299,1,31,188,300.0,214
50,1,0,4.1,558,3,31,346,150.0,22
51,0,0,3.8,39,1,31,354,350.0,214
52,1,0,4.2,146,1,4,34,400.0,214
53,1,0,4.4,4401,6,11,54,600.0,214
54,0,0,2.6,283,1,11,247,600.0,214
55,0,0,3.3,62,1,2,364,800.0,214
56,0,0,3.7,65,1,31,190,300.0,214
57,1,0,3.8,71,3,17,206,400.0,214
58,0,0,3.5,52,1,31,346,300.0,214
59,0,0,3.7,130,1,31,346,200.0,214
60,0,0,3.8,45,1,36,23,400.0,214
61,1,0,4.1,201,1,31,368,300.0,147
62,1,0,4.0,771,1,11,364,450.0,191
63,0,0,3.0,98,1,2,258,800.0,214
64,1,1,4.1,175,6,11,365,500.0,108
65,1,0,3.8,540,3,11,299,650.0,214
66,1,0,3.8,124,8,31,134,400.0,214
67,1,0,4.1,340,1,36,306,500.0,214
68,1,0,3.8,505,1,31,67,450.0,214
69,1,0,4.1,438,6,17,169,500.0,214
70,1,0,3.7,264,9,11,263,750.0,214
71,1,0,3.7,97,6,31,305,350.0,214
72,1,0,3.6,195,6,11,139,800.0,214
73,1,0,4.6,228,6,7,80,400.0,214
74,1,1,4.1,364,6,11,382,1200.0,214
75,1,0,3.7,107,3,4,36,150.0,214
76,1,0,3.2,167,8,31,367,300.0,173
77,1,0,4.2,64,3,31,341,500.0,214
78,1,0,3.0,290,1,31,265,450.0,214
79,1,0,4.1,233,3,31,375,200.0,214
80,1,0,3.8,115,8,31,186,250.0,214
81,1,1,3.9,291,6,7,84,650.0,115
